Date,Price,Open,High,Low,Change %,,,,,,,
10/8/2020,421.65,421.65,423.46,421.05,-0.08,,,,,,,
10/7/2020,422,422,422.19,420.9,-0.05,,,,,,,
10/6/2020,422.19,422.19,422.25,421.91,0.07,,,,,,,
10/5/2020,421.91,421.91,422.36,419.77,0.38,,,,,,,
10/2/2020,420.33,420.33,425.63,419.67,-1.25,,,,,,,
10/1/2020,425.63,425.63,428.31,425.54,-0.45,,,,,,,
9/30/2020,427.55,427.55,427.86,424.26,0.15,,,,,,,
9/29/2020,426.9,426.9,427.43,423.92,0.11,,,,,,,
9/28/2020,426.43,426.43,426.5,422.5,0.91,,,,,,,
9/25/2020,422.58,422.58,425.21,421.05,-0.62,,,,,,,
9/24/2020,425.21,425.21,425.44,423.98,0.02,,,,,,,
9/23/2020,425.11,425.11,426.36,423.31,0.36,,,,,,,
9/21/2020,423.59,423.59,425.2,421.05,-0.32,,,,,,,
9/18/2020,424.97,424.97,430.19,424.97,-1.08,,,,,,,
9/17/2020,429.6,429.6,430.87,428.65,-0.05,,,,,,,
9/16/2020,429.81,429.81,430.66,428.95,-0.2,,,,,,,
9/15/2020,430.66,430.66,431.02,428.75,-0.06,,,,,,,
9/14/2020,430.91,430.91,431.95,429.99,-0.24,,,,,,,
9/11/2020,431.95,431.95,431.95,430.09,0.33,,,,,,,
9/10/2020,430.51,430.51,435.54,428.97,-1.05,,,,,,,
9/9/2020,435.07,435.07,435.21,433.87,0.19,,,,,,,
9/8/2020,434.26,434.26,435.11,430.62,-0.2,,,,,,,
9/4/2020,435.11,435.11,435.73,433.29,0.08,,,,,,,
9/3/2020,434.77,434.77,434.92,431.52,0.7,,,,,,,
9/2/2020,431.75,431.75,434.02,429.98,0.2,,,,,,,
9/1/2020,430.87,430.87,435.52,430.87,-0.77,,,,,,,
8/31/2020,434.21,434.21,434.21,431.15,0.39,,,,,,,
8/28/2020,432.51,432.51,432.71,428.77,0.38,,,,,,,
8/27/2020,430.86,430.86,437.61,429.46,-1.54,,,,,,,
8/26/2020,437.61,437.61,437.61,433.71,0.9,,,,,,,
8/25/2020,433.71,433.71,437.27,432.04,-0.34,,,,,,,
8/24/2020,435.17,435.17,436.05,433.9,0.01,,,,,,,
8/21/2020,435.14,435.14,437.37,434.09,-0.15,,,,,,,
8/20/2020,435.81,435.81,438.54,434.4,0.31,,,,,,,
